geometry,name,longitude,latitude,amenity_type
POINT (-0.0506518 51.4195343),Alexandra Recreation Ground,-0.0506518,51.4195343,park
POINT (-0.1029628 51.5005211),,-0.1029628,51.5005211,park
POINT (-0.1026154 51.5002933),,-0.1026154,51.5002933,park
POINT (-0.1969465 51.4768333),Birdwatch,-0.1969465,51.4768333,park
POINT (-0.2077559 51.6134673),Panoramic Park,-0.2077559,51.6134673,park
POINT (-0.1288306 51.5292528),Levita House Plantation,-0.1288306,51.5292528,park
POINT (-0.1042636 51.5023583),,-0.1042636,51.5023583,park
POINT (-0.0322818 51.5498054),Mabley Edible Garden,-0.0322818,51.5498054,park
POINT (-0.1557897 51.5303758),Bird watching area,-0.1557897,51.5303758,park
POINT (-0.1313793 51.6016419),Albert Road Garden,-0.1313793,51.6016419,park
POINT (0.1092937 51.4424214),Burnt Oak Lane Open Space,0.1092937,51.4424214,park
POINT (-0.1129881 51.4926499),Lambeth Walk Doorstep Green,-0.1129881,51.4926499,park
POINT (-0.1161183 51.4750744),,-0.1161183,51.4750744,park
POINT (-0.2178568 51.3822542),Lynmouth Park,-0.2178568,51.3822542,park
POINT (0.0960094 51.4813581),,0.0960094,51.4813581,park
POINT (0.0947895 51.4826852),,0.0947895,51.4826852,park
POINT (-0.0901641 51.4117904),Spa Wood,-0.0901641,51.4117904,park
POINT (-0.4177856 51.5016853),,-0.4177856,51.5016853,park
POINT (-0.0563023 51.475998),Laburnum Close Green,-0.0563023,51.475998,park
POINT (-0.1223623 51.5222325),National Hospital for Neurology and Neurosurgery,-0.1223623,51.5222325,hospital
POINT (-0.1183042 51.6320636),Priory Hospital,-0.1183042,51.6320636,hospital
POINT (-0.1663173 51.4732684),Bridge Lane Health Centre,-0.1663173,51.4732684,hospital
POINT (-0.1070682 51.423089),British Home & Hospital for Incurables,-0.1070682,51.423089,hospital
POINT (0.1316749 51.3582569),Chelsfield Park Hospital,0.1316749,51.3582569,hospital
POINT (-0.0045395 51.4082042),Sloane Hospital,-0.0045395,51.4082042,hospital
